ZIP5,ZIP3,Eligible Delivery Points,RU,HH,Email,Area,District
00601,006,5046,259,208,242,SOUTHERN,PUERTO RICO
00602,006,10108,923,719,827,SOUTHERN,PUERTO RICO
00603,006,15652,1099,881,978,SOUTHERN,PUERTO RICO
00604,006,732,160,134,152,SOUTHERN,PUERTO RICO
00605,006,3847,350,283,328,SOUTHERN,PUERTO RICO
00606,006,2256,56,50,54,SOUTHERN,PUERTO RICO
00610,006,8476,603,489,552,SOUTHERN,PUERTO RICO
00611,006,640,37,28,31,SOUTHERN,PUERTO RICO
00612,006,19188,1040,853,927,SOUTHERN,PUERTO RICO
00613,006,2941,229,184,215,SOUTHERN,PUERTO RICO
00614,006,2603,372,290,343,SOUTHERN,PUERTO RICO
00616,006,3408,181,159,164,SOUTHERN,PUERTO RICO
00617,006,8913,643,531,577,SOUTHERN,PUERTO RICO
00622,006,3656,469,375,434,SOUTHERN,PUERTO RICO
00623,006,13286,912,734,832,SOUTHERN,PUERTO RICO
00624,006,6355,447,352,415,SOUTHERN,PUERTO RICO
00627,006,8587,689,553,634,SOUTHERN,PUERTO RICO
00631,006,875,23,23,21,SOUTHERN,PUERTO RICO
00637,006,8551,593,468,547,SOUTHERN,PUERTO RICO
00638,006,5624,361,295,337,SOUTHERN,PUERTO RICO
00641,006,8035,443,362,407,SOUTHERN,PUERTO RICO
00646,006,12548,1758,1377,1552,SOUTHERN,PUERTO RICO
00647,006,2998,153,116,141,SOUTHERN,PUERTO RICO
00650,006,4918,258,212,236,SOUTHERN,PUERTO RICO
00652,006,1873,166,129,160,SOUTHERN,PUERTO RICO
00653,006,5216,277,227,265,SOUTHERN,PUERTO RICO
00656,006,6844,430,335,407,SOUTHERN,PUERTO RICO
00659,006,10402,694,565,635,SOUTHERN,PUERTO RICO
00660,006,6420,484,393,445,SOUTHERN,PUERTO RICO
00662,006,15105,1433,1116,1309,SOUTHERN,PUERTO RICO
00664,006,4494,273,220,256,SOUTHERN,PUERTO RICO
